title,artist,url,location,date,ntracks,genres
Rollin,DJ Rashad,https://dj-rashad.bandcamp.com/album/rollin-hdb070d?from=footer-bcw-a1660348365,"Chicago, Illinois",2016-09-8,5,"['electronic', 'experimental', 'footwork', 'juke', 'jungle', 'rap']"
Catholic Sunspot Apron [Some Bizzare Edition],Satanicpornocultshop,https://satanicpornocultshop.bandcamp.com/album/catholic-sunspot-apron-some-bizzare-edition-2?from=footer-bcw-a1660348365,"大阪市, Japan",2014-01-010,19,"['electronic', 'ghettotech', 'jukefootwork', 'moodmusic', 'satanicpornocultshop', 'bossanova', 'breakbeats', 'breakcore', 'footwork', 'jazz', 'juke', 'mondo', 'tropicalia']"
Drowning In The Sewer,Sewerslvt,https://sewerslvt.com/album/drowning-in-the-sewer?from=footer-cc-a1660348365,"Adelaide, Australia",2019-06-11,14,"['depressivebreakcore', 'drum&bass', 'electronic', 'experimental', 'atmosphericdrum&bass', 'breakcore', 'jungle', 'rave']"
Revealed EP,Karsten Pflum,https://touchedrevolutions.bandcamp.com/album/revealed-ep?from=footer-cc-a1514405842,"Wales, UK",2019-09-13,9,"['electronic', 'i.d.m.', 'idm', 'aphextwin', 'braindance', 'electronica', 'idm', 'idmelectronica', 'warprecords']"
Clockwork Manor_Cottage Industries 9,Neo Ouija,https://neoouija1.bandcamp.com/album/clockwork-manor-cottage-industries-9?from=footer-cc-a1514405842,UK,2019-11-17,36,"['electronic', 'idm', 'ambient', 'chillout', 'electro', 'electronica', 'techno']"
Decima Circuits_Cottage Industries 10,Various,https://neoouija1.bandcamp.com/album/decima-circuits-cottage-industries-10?from=footer-cc-a1514405842,UK,2020-09-26,26,"['electronic', 'idm', 'ambient', 'beats', 'electro', 'electronica', 'techno']"
Rave 'Till You Cry,Bogdan Raczynski,https://bogdanraczynski.bandcamp.com/album/rave-till-you-cry-2?from=footer-nn-a1514405842,,2019-04-5,18,"['alternative', 'drum&bass', 'electronic', 'experimental', 'rephlex', 'braindance', 'idm', 'jungle', 'rephlex', 'warp']"
EP 3,RX-101,https://rx-101.bandcamp.com/album/ep-3?from=footer-nn-a1514405842,Netherlands,2017-06-20,6,"['electronic', 'braindance', 'electro', 'idm', 'rephlex', 'techno']"
Compilation: Beats Home Japan​/​Australia Compilation,Braindance Beats Home,https://beatshome.bandcamp.com/album/compilation-beats-home-japan-australia-compilation?from=footer-bcw-a1514405842,"Sydney, Australia",2013-04-24,10,"['braindance', 'electronic', 'glitch', 'idm', 'techno']"
Urban Utopia,Keiss,https://touchedrevolutions.bandcamp.com/album/urban-utopia?from=footer-cc-a1514405842,"Wales, UK",2020-08-14,8,"['electronic', 'idm', 'braindance', 'idmelectronica']"
BODY MODS,LSDXOXO,https://lsdxoxo.bandcamp.com/album/body-mods?from=footer-cc-a623037069,"Berlin, Germany",2018-01-11,7,"['club', 'electronic', 'rage']"
Zero Fucks,Special Request,https://specialrequest187.bandcamp.com/album/zero-fucks?from=footer-cc-a623037069,"London, UK",2019-12-30,10,"['electronic', 'experimental', 'jungle', 'techno']"
